,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
13406,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Meath,Number,31.0
13407,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Monaghan,Number,1.0
13408,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Offaly,Number,5.0
13409,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Roscommon,Number,2.0
13410,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Sligo,Number,5.0
13411,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Westmeath,Number,8.0
13412,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Wexford,Number,20.0
13413,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Wicklow,Number,28.0
13414,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Limerick,Number,32.0
13415,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Waterford,Number,15.0
13416,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Tipperary,Number,15.0
13417,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Cork,Number,84.0
13418,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Dublin,Number,257.0
13419,New Private Cars,2016,Up to 900 cc,All makes,Band  B,All licensing authorities,Number,42.0
13420,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Carlow,Number,0.0
13421,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Cavan,Number,0.0
13422,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Clare,Number,0.0
13423,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Donegal,Number,1.0
13424,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Galway,Number,1.0
13425,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Kerry,Number,0.0
13426,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Kildare,Number,1.0
13427,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Kilkenny,Number,0.0
13428,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Laois,Number,0.0
13429,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Leitrim,Number,0.0
13430,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Longford,Number,0.0
13431,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Louth,Number,2.0
13432,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Mayo,Number,0.0
13433,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Meath,Number,2.0
13434,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Monaghan,Number,1.0
13435,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Offaly,Number,0.0
13436,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Roscommon,Number,1.0
13437,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Sligo,Number,0.0
13438,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Westmeath,Number,0.0
13439,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Wexford,Number,1.0
13440,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Wicklow,Number,0.0
13441,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Limerick,Number,3.0
13442,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Waterford,Number,0.0
13443,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Tipperary,Number,0.0
13444,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Cork,Number,4.0
13445,New Private Cars,2016,Up to 900 cc,All makes,Band  B,Dublin,Number,25.0
13446,New Private Cars,2016,Up to 900 cc,All makes,Band  C,All licensing authorities,Number,0.0
13447,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Carlow,Number,0.0
13448,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Cavan,Number,0.0
13449,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Clare,Number,0.0
13450,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Donegal,Number,0.0
13451,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Galway,Number,0.0
13452,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Kerry,Number,0.0
13453,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Kildare,Number,0.0
13454,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Kilkenny,Number,0.0
13455,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Laois,Number,0.0
13456,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Leitrim,Number,0.0
13457,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Longford,Number,0.0
13458,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Louth,Number,0.0
13459,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Mayo,Number,0.0
13460,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Meath,Number,0.0
13461,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Monaghan,Number,0.0
13462,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Offaly,Number,0.0
13463,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Roscommon,Number,0.0
13464,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Sligo,Number,0.0
13465,New Private Cars,2016,Up to 900 cc,All makes,Band  C,Westmeath,Number,0.0
